source,period,year_month,mean_sentiment,median_sentiment,positive_pct,neutral_pct,negative_pct,sentence_count,sentiment_std
bbc_news_tv,control,2016-06,0.2759,1,51.72,24.14,24.14,29,0.8408
bbc_news_tv,control,2016-07,0.5714,1,57.14,42.86,0.0,7,0.5345
bbc_news_tv,control,2016-08,0.2083,0.5,50.0,20.83,29.17,24,0.8836
bbc_news_tv,control,2016-09,0.04,0,36.0,32.0,32.0,25,0.8406
bbc_news_tv,control,2016-10,0,0,21.74,56.52,21.74,23,0.6742
bbc_news_tv,control,2016-11,-0.0426,0,29.79,36.17,34.04,47,0.8064
bbc_news_tv,control,2016-12,-0.2308,0,23.08,30.77,46.15,65,0.8056
bbc_news_tv,control,2017-01,0.0833,0.0,43.75,20.83,35.42,48,0.8952
bbc_news_tv,control,2017-02,-0.0192,0.0,28.85,40.38,30.77,52,0.7794
bbc_news_tv,control,2017-03,0.2727,0.5,50.0,27.27,22.73,22,0.827
bbc_news_tv,control,2017-04,-0.0238,0.0,33.33,30.95,35.71,42,0.8407
bbc_news_tv,control,2017-05,0.0909,0.0,36.36,36.36,27.27,22,0.8112
bbc_news_tv,control,2017-06,0.1356,0,42.37,28.81,28.81,59,0.8399
bbc_news_tv,control,2017-07,-0.2333,0.0,20.0,36.67,43.33,60,0.7673
bbc_news_tv,control,2017-08,0.2105,0.0,42.11,36.84,21.05,38,0.7766
bbc_news_tv,control,2017-09,-0.1833,0.0,30.0,21.67,48.33,60,0.8732
bbc_news_tv,control,2017-10,-0.0667,0.0,20.0,53.33,26.67,30,0.6915
bbc_news_tv,control,2017-11,0.5088,1,59.65,31.58,8.77,57,0.658
bbc_news_tv,control,2017-12,-0.0444,0,44.44,6.67,48.89,45,0.976
bbc_news_tv,control,2018-01,-0.0882,0.0,29.41,32.35,38.24,34,0.83
bbc_news_tv,control,2018-02,-0.0652,0.0,34.78,23.91,41.3,46,0.8794
bbc_news_tv,control,2018-03,-0.0444,0,40.0,15.56,44.44,45,0.9282
bbc_news_tv,control,2018-04,-0.2308,-1.0,30.77,15.38,53.85,52,0.8991
bbc_news_tv,control,2018-05,0.0548,0,36.99,31.51,31.51,73,0.8315
bbc_news_tv,control,2018-06,0.1538,0,43.08,29.23,27.69,65,0.8335
bbc_news_tv,control,2018-07,0.0968,0,38.71,32.26,29.03,31,0.8309
bbc_news_tv,control,2018-08,0.1579,0.0,36.84,42.11,21.05,76,0.7493
bbc_news_tv,control,2018-09,-0.0526,0,31.58,31.58,36.84,19,0.8481
bbc_news_tv,control,2018-10,-0.4583,-1.0,12.5,29.17,58.33,24,0.7211
bbc_news_tv,control,2018-11,-0.3947,-1.0,15.79,28.95,55.26,38,0.7548
bbc_news_tv,control,2018-12,0.0256,0,35.9,30.77,33.33,39,0.8425
bbc_news_tv,control,2019-01,0.0154,0,36.92,27.69,35.38,65,0.8568
bbc_news_tv,control,2019-02,-0.1429,0.0,28.57,28.57,42.86,14,0.8644
bbc_news_tv,control,2019-03,-0.18,-1.0,36.0,10.0,54.0,50,0.9409
bbc_news_tv,control,2019-04,0.0909,0.0,43.18,22.73,34.09,44,0.8844
bbc_news_tv,control,2019-06,0.2791,1,55.81,16.28,27.91,43,0.8817
bbc_news_tv,control,2019-07,0.0625,0.0,34.38,37.5,28.12,64,0.7943
bbc_news_tv,control,2019-08,-0.1509,0.0,25.47,33.96,40.57,106,0.8023
